File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_48.py,0.2,"['3\n1 1\n2 2\n2 4\n-1\n4\n1 1\n3 3\n2 6\n3 7\n4\n3 1\n1 2\n2 3\n1 4\n2\n2 1\n4 5\n4\n3 1\n4 5\n2 9\n1 13', '-1', '2\n1 1\n3 3', '2\n1 1\n1 4', '2\n4 1\n1 7', '2\n1 1\n4 2', '2\n1 1\n3 4', '3\n1 1\n5 3\n6 8', '-1', '10\n10 1\n10 11\n10 21\n10 31\n10 41\n10 51\n10 61\n10 71\n10 81\n10 88', '1\n1 1', '-1', '2\n1 1\n4 2', '3\n4 1\n5 4\n1 8', '3\n1 1\n5 3\n3 8']","['-1\n-1\n-1\n-1\n-1\n-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1']","[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]"
code_19.py,0.0,"['3\n1 1\n2 2\n2 4\n-1\n4\n1 1\n3 3\n2 6\n3 7\n4\n3 1\n1 2\n2 3\n1 4\n2\n2 1\n4 5\n4\n3 1\n4 5\n2 9\n1 13', '-1', '2\n1 1\n3 3', '2\n1 1\n1 4', '2\n4 1\n1 7', '2\n1 1\n4 2', '2\n1 1\n3 4', '3\n1 1\n5 3\n6 8', '-1', '10\n10 1\n10 11\n10 21\n10 31\n10 41\n10 51\n10 61\n10 71\n10 81\n10 88', '1\n1 1', '-1', '2\n1 1\n4 2', '3\n4 1\n5 4\n1 8', '3\n1 1\n5 3\n3 8']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_58.py,0.0,"['3\n1 1\n2 2\n2 4\n-1\n4\n1 1\n3 3\n2 6\n3 7\n4\n3 1\n1 2\n2 3\n1 4\n2\n2 1\n4 5\n4\n3 1\n4 5\n2 9\n1 13', '-1', '2\n1 1\n3 3', '2\n1 1\n1 4', '2\n4 1\n1 7', '2\n1 1\n4 2', '2\n1 1\n3 4', '3\n1 1\n5 3\n6 8', '-1', '10\n10 1\n10 11\n10 21\n10 31\n10 41\n10 51\n10 61\n10 71\n10 81\n10 88', '1\n1 1', '-1', '2\n1 1\n4 2', '3\n4 1\n5 4\n1 8', '3\n1 1\n5 3\n3 8']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_78.py,0.0,"['3\n1 1\n2 2\n2 4\n-1\n4\n1 1\n3 3\n2 6\n3 7\n4\n3 1\n1 2\n2 3\n1 4\n2\n2 1\n4 5\n4\n3 1\n4 5\n2 9\n1 13', '-1', '2\n1 1\n3 3', '2\n1 1\n1 4', '2\n4 1\n1 7', '2\n1 1\n4 2', '2\n1 1\n3 4', '3\n1 1\n5 3\n6 8', '-1', '10\n10 1\n10 11\n10 21\n10 31\n10 41\n10 51\n10 61\n10 71\n10 81\n10 88', '1\n1 1', '-1', '2\n1 1\n4 2', '3\n4 1\n5 4\n1 8', '3\n1 1\n5 3\n3 8']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_29.py,0.2,"['3\n1 1\n2 2\n2 4\n-1\n4\n1 1\n3 3\n2 6\n3 7\n4\n3 1\n1 2\n2 3\n1 4\n2\n2 1\n4 5\n4\n3 1\n4 5\n2 9\n1 13', '-1', '2\n1 1\n3 3', '2\n1 1\n1 4', '2\n4 1\n1 7', '2\n1 1\n4 2', '2\n1 1\n3 4', '3\n1 1\n5 3\n6 8', '-1', '10\n10 1\n10 11\n10 21\n10 31\n10 41\n10 51\n10 61\n10 71\n10 81\n10 88', '1\n1 1', '-1', '2\n1 1\n4 2', '3\n4 1\n5 4\n1 8', '3\n1 1\n5 3\n3 8']","['', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1']","[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]"
code_39.py,0.0,"['3\n1 1\n2 2\n2 4\n-1\n4\n1 1\n3 3\n2 6\n3 7\n4\n3 1\n1 2\n2 3\n1 4\n2\n2 1\n4 5\n4\n3 1\n4 5\n2 9\n1 13', '-1', '2\n1 1\n3 3', '2\n1 1\n1 4', '2\n4 1\n1 7', '2\n1 1\n4 2', '2\n1 1\n3 4', '3\n1 1\n5 3\n6 8', '-1', '10\n10 1\n10 11\n10 21\n10 31\n10 41\n10 51\n10 61\n10 71\n10 81\n10 88', '1\n1 1', '-1', '2\n1 1\n4 2', '3\n4 1\n5 4\n1 8', '3\n1 1\n5 3\n3 8']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_68.py,0.0,"['3\n1 1\n2 2\n2 4\n-1\n4\n1 1\n3 3\n2 6\n3 7\n4\n3 1\n1 2\n2 3\n1 4\n2\n2 1\n4 5\n4\n3 1\n4 5\n2 9\n1 13', '-1', '2\n1 1\n3 3', '2\n1 1\n1 4', '2\n4 1\n1 7', '2\n1 1\n4 2', '2\n1 1\n3 4', '3\n1 1\n5 3\n6 8', '-1', '10\n10 1\n10 11\n10 21\n10 31\n10 41\n10 51\n10 61\n10 71\n10 81\n10 88', '1\n1 1', '-1', '2\n1 1\n4 2', '3\n4 1\n5 4\n1 8', '3\n1 1\n5 3\n3 8']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_79.py,0.0,"['3\n1 1\n2 2\n2 4\n-1\n4\n1 1\n3 3\n2 6\n3 7\n4\n3 1\n1 2\n2 3\n1 4\n2\n2 1\n4 5\n4\n3 1\n4 5\n2 9\n1 13', '-1', '2\n1 1\n3 3', '2\n1 1\n1 4', '2\n4 1\n1 7', '2\n1 1\n4 2', '2\n1 1\n3 4', '3\n1 1\n5 3\n6 8', '-1', '10\n10 1\n10 11\n10 21\n10 31\n10 41\n10 51\n10 61\n10 71\n10 81\n10 88', '1\n1 1', '-1', '2\n1 1\n4 2', '3\n4 1\n5 4\n1 8', '3\n1 1\n5 3\n3 8']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_28.py,0.0,"['3\n1 1\n2 2\n2 4\n-1\n4\n1 1\n3 3\n2 6\n3 7\n4\n3 1\n1 2\n2 3\n1 4\n2\n2 1\n4 5\n4\n3 1\n4 5\n2 9\n1 13', '-1', '2\n1 1\n3 3', '2\n1 1\n1 4', '2\n4 1\n1 7', '2\n1 1\n4 2', '2\n1 1\n3 4', '3\n1 1\n5 3\n6 8', '-1', '10\n10 1\n10 11\n10 21\n10 31\n10 41\n10 51\n10 61\n10 71\n10 81\n10 88', '1\n1 1', '-1', '2\n1 1\n4 2', '3\n4 1\n5 4\n1 8', '3\n1 1\n5 3\n3 8']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_38.py,0.0,"['3\n1 1\n2 2\n2 4\n-1\n4\n1 1\n3 3\n2 6\n3 7\n4\n3 1\n1 2\n2 3\n1 4\n2\n2 1\n4 5\n4\n3 1\n4 5\n2 9\n1 13', '-1', '2\n1 1\n3 3', '2\n1 1\n1 4', '2\n4 1\n1 7', '2\n1 1\n4 2', '2\n1 1\n3 4', '3\n1 1\n5 3\n6 8', '-1', '10\n10 1\n10 11\n10 21\n10 31\n10 41\n10 51\n10 61\n10 71\n10 81\n10 88', '1\n1 1', '-1', '2\n1 1\n4 2', '3\n4 1\n5 4\n1 8', '3\n1 1\n5 3\n3 8']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
