File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_48.py,0.0,"['dbcadabcdbcadabc', 'aaaaa', 'dcdcdcdcdc', 'cbcbcbcbcb', 'ddcddcddcdd', 'ccaccacaccaccacaccac', 'zzazzazzazz', 'bbabbabbab']","['dbcadabcc', 'abcd', 'dcdcdd', 'cbcbcc', 'ddcdd', 'ccaccacaa', 'zzazz', 'bbabbb']","[0, 0, 0, 0, 0, 0, 0, 0]"
code_19.py,0.0,"['dbcadabcdbcadabc', 'aaaaa', 'dcdcdcdcdc', 'cbcbcbcbcb', 'ddcddcddcdd', 'ccaccacaccaccacaccac', 'zzazzazzazz', 'bbabbabbab']","['', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0]"
code_103.py,0.25,"['dbcadabcdbcadabc', 'aaaaa', 'dcdcdcdcdc', 'cbcbcbcbcb', 'ddcddcddcdd', 'ccaccacaccaccacaccac', 'zzazzazzazz', 'bbabbabbab']","['dbcadabcdbcadabc', 'abcda', 'dcdcddcdcd', 'cbcbccbcbc', 'ddcdddcdddc', 'ccaccacaccaccacaccac', 'zzazzzazzza', 'bbabbbbabb']","[1, 0, 0, 0, 0, 1, 0, 0]"
code_58.py,0.0,"['dbcadabcdbcadabc', 'aaaaa', 'dcdcdcdcdc', 'cbcbcbcbcb', 'ddcddcddcdd', 'ccaccacaccaccacaccac', 'zzazzazzazz', 'bbabbabbab']","['dbcadabc', 'abcd', 'dcdcd', 'cbcbc', 'ddcd', 'ccaccaca', 'zzaz', 'bbabb']","[0, 0, 0, 0, 0, 0, 0, 0]"
code_78.py,0.0,"['dbcadabcdbcadabc', 'aaaaa', 'dcdcdcdcdc', 'cbcbcbcbcb', 'ddcddcddcdd', 'ccaccacaccaccacaccac', 'zzazzazzazz', 'bbabbabbab']","['', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0]"
code_29.py,0.0,"['dbcadabcdbcadabc', 'aaaaa', 'dcdcdcdcdc', 'cbcbcbcbcb', 'ddcddcddcdd', 'ccaccacaccaccacaccac', 'zzazzazzazz', 'bbabbabbab']","['dbcadabc', 'abcd', 'dcdcd', 'cbcbc', 'ddcd', 'ccaccaca', 'zzaz', 'bbabb']","[0, 0, 0, 0, 0, 0, 0, 0]"
code_39.py,0.0,"['dbcadabcdbcadabc', 'aaaaa', 'dcdcdcdcdc', 'cbcbcbcbcb', 'ddcddcddcdd', 'ccaccacaccaccacaccac', 'zzazzazzazz', 'bbabbabbab']","['dbcadabc\ndbcadabc', 'abcd\nabcd', 'dcdcd\ndcdcd', 'cbcbc\ncbcbc', 'ddcd\nddcd', 'ccaccaca\nccaccaca', 'zzaz\nzzaz', 'bbabb\nbbabb']","[0, 0, 0, 0, 0, 0, 0, 0]"
code_68.py,0.0,"['dbcadabcdbcadabc', 'aaaaa', 'dcdcdcdcdc', 'cbcbcbcbcb', 'ddcddcddcdd', 'ccaccacaccaccacaccac', 'zzazzazzazz', 'bbabbabbab']","['', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0]"
code_79.py,0.25,"['dbcadabcdbcadabc', 'aaaaa', 'dcdcdcdcdc', 'cbcbcbcbcb', 'ddcddcddcdd', 'ccaccacaccaccacaccac', 'zzazzazzazz', 'bbabbabbab']","['dbcadabcdbcadabc', 'abcda', 'dcdcddcdcd', 'cbcbccbcbc', 'ddcdddcdddc', 'ccaccacaccaccacaccac', 'zzazzzazzza', 'bbabbbbabb']","[1, 0, 0, 0, 0, 1, 0, 0]"
code_28.py,0.0,"['dbcadabcdbcadabc', 'aaaaa', 'dcdcdcdcdc', 'cbcbcbcbcb', 'ddcddcddcdd', 'ccaccacaccaccacaccac', 'zzazzazzazz', 'bbabbabbab']","['', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0]"
