File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_4.py,1.0,"['1\n1\n1\n1\n1\n6\n1\n1\n1\n1\n2\n1\n1\n1\n1\n1\n1\n1\n4\n1\n1\n1\n3\n1\n1\n2\n1\n1\n2\n1\n1\n1\n1\n1\n1\n1\n3\n1\n1\n1\n', '2\n1\n1\n1\n1\n', '2\n2\n', '8\n4\n2\n3\n2\n2\n2\n3\n3\n4\n5\n2\n4\n', '2\n3\n2\n2\n']","['×]u×\xadu×]µ×]u×^5×]õ×muÛ]u×]uß]u', '', '', '', 'Û}¶']","['Accepted', 'Accepted', 'Accepted', 'Accepted', 'Accepted']"
code_0.py,0.2,"['1\n1\n1\n1\n1\n6\n1\n1\n1\n1\n2\n1\n1\n1\n1\n1\n1\n1\n4\n1\n1\n1\n3\n1\n1\n2\n1\n1\n2\n1\n1\n1\n1\n1\n1\n1\n3\n1\n1\n1\n', '2\n1\n1\n1\n1\n', '2\n2\n', '8\n4\n2\n3\n2\n2\n2\n3\n3\n4\n5\n2\n4\n', '2\n3\n2\n2\n']","['×]u×]u×]u×]u×]u×]u×]u×]u×]u×]u', '', '', '', 'Ûm¶']","['Wrong Answer', 'Wrong Answer', 'Accepted', 'Wrong Answer', 'Wrong Answer']"
code_1.py,0.2,"['1\n1\n1\n1\n1\n6\n1\n1\n1\n1\n2\n1\n1\n1\n1\n1\n1\n1\n4\n1\n1\n1\n3\n1\n1\n2\n1\n1\n2\n1\n1\n1\n1\n1\n1\n1\n3\n1\n1\n1\n', '2\n1\n1\n1\n1\n', '2\n2\n', '8\n4\n2\n3\n2\n2\n2\n3\n3\n4\n5\n2\n4\n', '2\n3\n2\n2\n']","['×]u×]u×]u×]u×]u×]u×]u×]u×]u×]u', '', '', '', 'Ûm¶']","['Wrong Answer', 'Wrong Answer', 'Accepted', 'Wrong Answer', 'Wrong Answer']"
code_5.py,0.2,"['1\n1\n1\n1\n1\n6\n1\n1\n1\n1\n2\n1\n1\n1\n1\n1\n1\n1\n4\n1\n1\n1\n3\n1\n1\n2\n1\n1\n2\n1\n1\n1\n1\n1\n1\n1\n3\n1\n1\n1\n', '2\n1\n1\n1\n1\n', '2\n2\n', '8\n4\n2\n3\n2\n2\n2\n3\n3\n4\n5\n2\n4\n', '2\n3\n2\n2\n']","['×]u×]u×]u×]u×]u×]u×]u×]u×]u×]u', '', '', '', 'Ûm¶']","['Wrong Answer', 'Wrong Answer', 'Accepted', 'Wrong Answer', 'Wrong Answer']"
code_2.py,0.2,"['1\n1\n1\n1\n1\n6\n1\n1\n1\n1\n2\n1\n1\n1\n1\n1\n1\n1\n4\n1\n1\n1\n3\n1\n1\n2\n1\n1\n2\n1\n1\n1\n1\n1\n1\n1\n3\n1\n1\n1\n', '2\n1\n1\n1\n1\n', '2\n2\n', '8\n4\n2\n3\n2\n2\n2\n3\n3\n4\n5\n2\n4\n', '2\n3\n2\n2\n']","['×]u×]u×]u×]u×]u×]u×]u×]u×]u×]u', '', '', '', 'Ûm¶']","['Wrong Answer', 'Wrong Answer', 'Accepted', 'Wrong Answer', 'Wrong Answer']"
code_6.py,0.0,"['1\n1\n1\n1\n1\n6\n1\n1\n1\n1\n2\n1\n1\n1\n1\n1\n1\n1\n4\n1\n1\n1\n3\n1\n1\n2\n1\n1\n2\n1\n1\n1\n1\n1\n1\n1\n3\n1\n1\n1\n', '2\n1\n1\n1\n1\n', '2\n2\n', '8\n4\n2\n3\n2\n2\n2\n3\n3\n4\n5\n2\n4\n', '2\n3\n2\n2\n']","['', '', '', '', '']","['Runtime Error (NZEC)', 'Runtime Error (NZEC)', 'Runtime Error (NZEC)', 'Runtime Error (NZEC)', 'Runtime Error (NZEC)']"
code_10.py,0.2,"['1\n1\n1\n1\n1\n6\n1\n1\n1\n1\n2\n1\n1\n1\n1\n1\n1\n1\n4\n1\n1\n1\n3\n1\n1\n2\n1\n1\n2\n1\n1\n1\n1\n1\n1\n1\n3\n1\n1\n1\n', '2\n1\n1\n1\n1\n', '2\n2\n', '8\n4\n2\n3\n2\n2\n2\n3\n3\n4\n5\n2\n4\n', '2\n3\n2\n2\n']","['×]u×]u×]u×]u×]u×]u×]u×]u×]u×]u', '', '', '', 'Ûm¶']","['Wrong Answer', 'Wrong Answer', 'Accepted', 'Wrong Answer', 'Wrong Answer']"
code_7.py,0.0,"['1\n1\n1\n1\n1\n6\n1\n1\n1\n1\n2\n1\n1\n1\n1\n1\n1\n1\n4\n1\n1\n1\n3\n1\n1\n2\n1\n1\n2\n1\n1\n1\n1\n1\n1\n1\n3\n1\n1\n1\n', '2\n1\n1\n1\n1\n', '2\n2\n', '8\n4\n2\n3\n2\n2\n2\n3\n3\n4\n5\n2\n4\n', '2\n3\n2\n2\n']","['', '', '', '', '']","['Runtime Error (NZEC)', 'Runtime Error (NZEC)', 'Runtime Error (NZEC)', 'Runtime Error (NZEC)', 'Runtime Error (NZEC)']"
code_3.py,0.0,"['1\n1\n1\n1\n1\n6\n1\n1\n1\n1\n2\n1\n1\n1\n1\n1\n1\n1\n4\n1\n1\n1\n3\n1\n1\n2\n1\n1\n2\n1\n1\n1\n1\n1\n1\n1\n3\n1\n1\n1\n', '2\n1\n1\n1\n1\n', '2\n2\n', '8\n4\n2\n3\n2\n2\n2\n3\n3\n4\n5\n2\n4\n', '2\n3\n2\n2\n']","['×]u×]u×]u×]u×]u×]u×]u×]u×]u×]u', '', '', '', 'Ûm¶']","['Wrong Answer', 'Wrong Answer', 'Wrong Answer', 'Wrong Answer', 'Wrong Answer']"
code_8.py,0.2,"['1\n1\n1\n1\n1\n6\n1\n1\n1\n1\n2\n1\n1\n1\n1\n1\n1\n1\n4\n1\n1\n1\n3\n1\n1\n2\n1\n1\n2\n1\n1\n1\n1\n1\n1\n1\n3\n1\n1\n1\n', '2\n1\n1\n1\n1\n', '2\n2\n', '8\n4\n2\n3\n2\n2\n2\n3\n3\n4\n5\n2\n4\n', '2\n3\n2\n2\n']","['×]u×]u×]u×]u×]u×]u×]u×]u×]u×]u', '', '', '', 'Ûm¶']","['Wrong Answer', 'Wrong Answer', 'Accepted', 'Wrong Answer', 'Wrong Answer']"
